user_id,gym_id,rating
6,1,1.4
3,1,3.2
3,1,2.1
4,1,1.1
6,1,4.9
9,1,3.3
1,1,4.8
9,1,4.2
3,1,3.7
6,1,1.2
3,1,3.8
8,1,2.1
3,1,1.8
9,1,4.3
10,1,3.6
6,1,4.4
6,1,4.8
6,1,4.3
2,1,2.0
9,1,1.0
9,2,4.4
8,2,1.6
1,2,2.2
7,2,3.4
2,2,3.5
6,2,1.5
6,2,2.7
7,2,3.3
5,2,2.8
9,2,2.3
10,2,4.0
1,2,2.2
7,2,4.9
2,2,3.4
4,2,3.6
8,2,3.1
4,2,4.0
2,2,1.3
10,2,2.1
2,2,1.2
5,3,3.5
7,3,4.5
8,3,4.7
4,3,2.3
1,3,1.4
7,3,3.2
4,3,1.5
4,3,4.0
2,3,4.7
1,3,4.3
6,3,1.3
2,3,3.5
6,3,3.0
7,3,1.1
1,3,4.3
5,3,3.0
10,3,2.6
1,3,1.7
7,3,1.3
2,3,3.4
6,4,4.4
1,4,2.3
6,4,4.5
10,4,1.8
3,4,3.3
5,4,1.4
8,4,2.3
9,4,5.0
7,4,2.5
5,4,2.6
8,4,1.6
5,4,2.7
5,4,1.9
3,4,4.8
6,4,3.8
8,4,2.6
9,4,1.8
3,4,4.6
6,4,2.6
8,4,1.2
2,5,3.3
2,5,4.8
1,5,3.3
4,5,4.1
5,5,2.0
4,5,2.7
7,5,4.0
1,5,4.5
6,5,4.2
5,5,4.9
7,5,2.4
4,5,3.3
8,5,2.3
9,5,1.3
7,5,1.0
5,5,2.9
1,5,4.9
6,5,2.7
10,5,1.4
5,5,2.1
7,6,2.3
3,6,3.4
10,6,4.5
2,6,4.1
9,6,3.9
2,6,2.7
2,6,3.5
1,6,3.9
8,6,2.7
2,6,1.9
8,6,1.8
6,6,3.2
4,6,2.1
8,6,2.1
6,6,2.6
2,6,2.5
10,6,1.5
5,6,4.7
2,6,1.7
8,6,2.8
2,7,1.6
7,7,2.6
1,7,3.3
9,7,2.6
10,7,3.0
5,7,1.2
6,7,3.9
9,7,1.3
1,7,2.7
